,life_expectancy,life_expectancy,life_expectancy,life_expectancy,life_expectancy,gdp_per_capita,gdp_per_capita,gdp_per_capita,gdp_per_capita,gdp_per_capita,internet_users_percent,internet_users_percent,internet_users_percent,internet_users_percent,internet_users_percent,infant_mortality_rate,infant_mortality_rate,infant_mortality_rate,infant_mortality_rate,infant_mortality_rate
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
region,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,72.66596744680851,72.08000000000001,6.642223439432245,58.432,84.6805,13851.96830638298,3752.71,17942.41077417035,137.168,93777.1,31.88483132309695,22.5606,29.104857601803428,0.0,95.0694,26.30131364164425,20.55,24.958413465580914,1.9,137.4949152542373
Europe & Central Asia,75.75703755411256,76.22515,4.834639015418995,61.974,85.4171,24643.11968073593,14349.55,27190.234084596803,138.429,178846.0,49.38389959110894,53.3,28.966279238712655,0.0485996,98.26,12.682583253099558,5.5,16.614954538072123,1.5,133.975
Latin America & Caribbean,73.45609983766234,73.82,3.939431593791496,57.131,79.914,9009.920202922078,6058.21,8516.237178786674,332.615,44333.1,29.075464924593366,25.4581,21.245788976060563,0.231271,97.17,21.417136378644468,17.4,14.229129632702945,3.8,85.6
Middle East & North Africa,73.4979412087912,74.05600000000001,4.950181484955841,57.022,82.6024,13598.806587912088,5496.325000000001,16462.50799318532,550.36,85076.1,31.519882213174856,22.45145,27.538417015709612,0.0825004,100.0,19.60521978021978,15.5,15.46041600465405,3.0,80.1
North America,79.33717800000001,78.91095,1.548644052499757,76.6366,82.249,53575.982,49174.95,18535.5042033863,23738.2,93605.7,72.109408,72.7,13.27810106093581,42.9499,95.3,37.266999999999996,6.15,54.628870861776484,4.4,176.05
South Asia,68.1113661971831,67.578,5.0517613268291255,56.784,78.325,1777.9963873239435,985.475,2029.0179135602684,179.426,9801.62,10.78634907675136,6.2483249999999995,12.906070857556134,0.0045614,63.1857,41.885211267605634,40.95,22.33785054512466,6.7,87.8
Sub-Saharan Africa,57.02024158415841,56.9605,7.054789832798709,39.441,74.5146,1989.8253663366336,722.8025,3126.454297181116,111.927,22942.6,8.333044390599726,3.325,11.777241988034108,0.00590211,62.0,62.548762376237626,61.25,24.640801907905818,11.8,142.4
