,Variable Pair,Correlation
0,"('life_expectancy', 'infant_mortality_rate')",-0.8845544412143082
1,"('infant_mortality_rate', 'life_expectancy')",-0.8845544412143082
2,"('crude_birth_rate', 'life_expectancy')",-0.8805141221931401
3,"('life_expectancy', 'crude_birth_rate')",-0.8805141221931401
4,"('life_expectancy', 'crude_death_rate')",-0.8181155117293485
5,"('crude_death_rate', 'life_expectancy')",-0.8181155117293485
6,"('infant_mortality_rate', 'crude_birth_rate')",0.8147855251144173
7,"('crude_birth_rate', 'infant_mortality_rate')",0.8147855251144173
8,"('crude_death_rate', 'infant_mortality_rate')",0.7577790144925423
9,"('infant_mortality_rate', 'crude_death_rate')",0.7577790144925423
